noise,coupling
0.0,0.0
0.0,0.005
0.0,0.01
0.0,0.015
0.0,0.02
0.0,0.025
0.0,0.03
0.0,0.035
0.0,0.04
0.0,0.045
0.0,0.05
0.0,0.055
0.0,0.06
0.0,0.065
0.0,0.07
0.0,0.075
0.0,0.08
0.0,0.085
0.0,0.09
0.0,0.095
0.0,0.1
0.0,0.105
0.0,0.11
0.0,0.115
0.0,0.12
0.0,0.125
0.0,0.13
0.0,0.135
0.0,0.14
0.0,0.145
0.0,0.15
0.0,0.155
0.0,0.16
0.0,0.165
0.0,0.17
0.0,0.175
0.0,0.18
0.0,0.185
0.0,0.19
0.0,0.195
0.0,0.2
0.0001,0.0
0.0001,0.005
0.0001,0.01
0.0001,0.015
0.0001,0.02
0.0001,0.025
0.0001,0.03
0.0001,0.035
0.0001,0.04
0.0001,0.045
0.0001,0.05
0.0001,0.055
0.0001,0.06
0.0001,0.065
0.0001,0.07
0.0001,0.075
0.0001,0.08
0.0001,0.085
0.0001,0.09
0.0001,0.095
0.0001,0.1
0.0001,0.105
0.0001,0.11
0.0001,0.115
0.0001,0.12
0.0001,0.125
0.0001,0.13
0.0001,0.135
0.0001,0.14
0.0001,0.145
0.0001,0.15
0.0001,0.155
0.0001,0.16
0.0001,0.165
0.0001,0.17
0.0001,0.175
0.0001,0.18
0.0001,0.185
0.0001,0.19
0.0001,0.195
0.0001,0.2
0.0002,0.0
0.0002,0.005
0.0002,0.01
0.0002,0.015
0.0002,0.02
0.0002,0.025
0.0002,0.03
0.0002,0.035
0.0002,0.04
0.0002,0.045
0.0002,0.05
0.0002,0.055
0.0002,0.06
0.0002,0.065
0.0002,0.07
0.0002,0.075
0.0002,0.08
0.0002,0.085
0.0002,0.09
0.0002,0.095
0.0002,0.1
0.0002,0.105
0.0002,0.11
0.0002,0.115
0.0002,0.12
0.0002,0.125
0.0002,0.13
0.0002,0.135
0.0002,0.14
0.0002,0.145
0.0002,0.15
0.0002,0.155
0.0002,0.16
0.0002,0.165
0.0002,0.17
0.0002,0.175
0.0002,0.18
0.0002,0.185
0.0002,0.19
0.0002,0.195
0.0002,0.2
0.0004,0.0
0.0004,0.005
0.0004,0.01
0.0004,0.015
0.0004,0.02
0.0004,0.025
0.0004,0.03
0.0004,0.035
0.0004,0.04
0.0004,0.045
0.0004,0.05
0.0004,0.055
0.0004,0.06
0.0004,0.065
0.0004,0.07
0.0004,0.075
0.0004,0.08
0.0004,0.085
0.0004,0.09
0.0004,0.095
0.0004,0.1
0.0004,0.105
0.0004,0.11
0.0004,0.115
0.0004,0.12
0.0004,0.125
0.0004,0.13
0.0004,0.135
0.0004,0.14
0.0004,0.145
0.0004,0.15
0.0004,0.155
0.0004,0.16
0.0004,0.165
0.0004,0.17
0.0004,0.175
0.0004,0.18
0.0004,0.185
0.0004,0.19
0.0004,0.195
0.0004,0.2
0.0006,0.0
0.0006,0.005
0.0006,0.01
0.0006,0.015
0.0006,0.02
0.0006,0.025
0.0006,0.03
0.0006,0.035
0.0006,0.04
0.0006,0.045
0.0006,0.05
0.0006,0.055
0.0006,0.06
0.0006,0.065
0.0006,0.07
0.0006,0.075
0.0006,0.08
0.0006,0.085
0.0006,0.09
0.0006,0.095
0.0006,0.1
0.0006,0.105
0.0006,0.11
0.0006,0.115
0.0006,0.12
0.0006,0.125
0.0006,0.13
0.0006,0.135
0.0006,0.14
0.0006,0.145
0.0006,0.15
0.0006,0.155
0.0006,0.16
0.0006,0.165
0.0006,0.17
