k,silhouette,davies_bouldin
3,0.5651416025903898,0.8559323172899093
4,0.6141289609517064,0.5644406327746994
5,0.6631931404715778,0.5494779286257726
6,0.65117235089437,0.6191199418222452
7,0.6135669712110696,0.598153521223029
